Loan_ID,Gender,Married,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LN00001,Female,Yes,2,3590,9182,661,360,1.0,Urban,N
LN00002,Male,Yes,0,9298,14610,545,180,0.0,Urban,N
LN00003,Female,No,2,6228,13723,106,240,1.0,Rural,Y
LN00004,Female,Yes,0,4596,6817,276,180,0.0,Rural,Y
LN00005,Male,Yes,3+,12933,6238,500,120,0.0,Semiurban,Y
LN00006,Female,Yes,3+,18452,6255,388,120,1.0,Semiurban,Y
LN00007,Female,No,1,23221,12510,633,120,1.0,Rural,Y
LN00008,Male,Yes,1,6614,1841,626,240,1.0,Semiurban,Y
LN00009,Female,No,3+,10394,2850,134,360,0.0,Urban,Y
LN00010,Female,Yes,3+,6725,8387,177,180,1.0,Urban,Y
LN00011,Female,Yes,2,23540,6376,409,120,1.0,Semiurban,N
LN00012,Female,No,2,19694,1088,279,120,0.0,Urban,Y
LN00013,Male,Yes,2,9327,11463,321,180,0.0,Semiurban,N
LN00014,Male,No,2,5770,9019,697,360,0.0,Semiurban,N
LN00015,Female,Yes,3+,10748,2506,159,240,0.0,Semiurban,Y
LN00016,Male,Yes,0,9721,14938,231,120,0.0,Urban,N
LN00017,Female,No,3+,21160,7508,665,360,1.0,Urban,N
LN00018,Male,Yes,3+,18157,10043,333,360,0.0,Rural,N
LN00019,Male,Yes,2,13599,14800,234,240,0.0,Semiurban,Y
LN00020,Female,Yes,0,23238,6500,350,120,1.0,Rural,N
LN00021,Male,No,3+,3069,603,159,120,0.0,Semiurban,N
LN00022,Female,No,2,23265,9459,221,120,1.0,Urban,N
LN00023,Male,Yes,2,4108,9725,182,120,1.0,Rural,N
LN00024,Male,Yes,0,14440,16,630,180,1.0,Rural,Y
LN00025,Female,No,2,7434,9818,648,360,0.0,Rural,N
LN00026,Male,Yes,3+,18231,6293,664,180,0.0,Rural,Y
LN00027,Male,No,2,2012,8064,444,240,0.0,Semiurban,Y
LN00028,Female,No,2,11977,500,50,180,1.0,Urban,Y
LN00029,Female,Yes,2,17317,11320,420,360,1.0,Rural,Y
LN00030,Female,Yes,0,5291,2200,323,360,1.0,Semiurban,Y
LN00031,Male,No,2,2626,8276,356,180,1.0,Urban,Y
LN00032,Female,No,3+,18959,5094,317,120,1.0,Semiurban,N
LN00033,Female,Yes,2,8197,14858,334,240,1.0,Urban,Y
LN00034,Female,Yes,2,17599,3467,526,180,1.0,Semiurban,Y
LN00035,Male,No,1,14573,8168,257,240,0.0,Semiurban,Y
LN00036,Male,Yes,0,4724,6695,104,360,0.0,Rural,N
LN00037,Male,Yes,2,13053,3520,390,120,0.0,Rural,N
LN00038,Female,No,2,23187,3751,517,360,1.0,Semiurban,N
LN00039,Male,Yes,0,12446,8274,674,120,0.0,Semiurban,Y
LN00040,Male,No,2,24917,6037,363,180,0.0,Urban,N
LN00041,Male,No,1,2584,12589,579,180,0.0,Urban,Y
LN00042,Female,Yes,2,17727,985,213,180,1.0,Semiurban,N
LN00043,Male,No,0,17480,14111,593,240,1.0,Rural,Y
LN00044,Male,Yes,2,20875,10996,87,360,0.0,Rural,Y
LN00045,Male,No,2,18452,13842,162,360,0.0,Rural,Y
LN00046,Female,No,3+,17273,1685,557,240,0.0,Urban,N
LN00047,Male,No,1,22501,5051,367,180,0.0,Rural,N
LN00048,Female,No,2,2052,41,144,240,0.0,Rural,N
LN00049,Male,No,2,14198,2551,413,360,0.0,Semiurban,Y
LN00050,Female,No,0,17754,3758,306,240,1.0,Rural,N
LN00051,Male,Yes,2,10655,6137,189,360,1.0,Semiurban,Y
LN00052,Male,No,2,21422,7354,185,360,1.0,Urban,Y
LN00053,Male,No,3+,23932,6279,326,360,1.0,Rural,Y
LN00054,Female,Yes,2,11874,6433,331,240,0.0,Urban,N
LN00055,Female,No,0,3059,8113,592,240,1.0,Rural,N
LN00056,Male,No,2,3697,9488,650,120,1.0,Rural,N
